date,open,high,low,close,volume
01-08-2011,117.698,118.059,114.973,115.3169,5880700
02-08-2011,113.5375,115.8412,112.7638,112.8068,7594500
03-08-2011,112.91,114.5604,112.3598,113.5375,6499400
04-08-2011,112.4716,113.3741,108.4916,108.5087,8193300
05-08-2011,109.8154,111.0876,105.1735,107.6062,11167300
08-08-2011,104.9414,107.8297,96.371,101.1419,17378000
09-08-2011,103.5918,105.8611,95.9326,105.5001,15913400
10-08-2011,102.7923,102.8697,94.5916,94.8495,18592000
11-08-2011,97.0845,102.9385,96.4914,101.5201,11842200
12-08-2011,102.9986,103.9098,99.1046,100.1189,9607900
15-08-2011,101.0645,102.8955,99.7149,102.4055,7257200
16-08-2011,101.0903,102.9643,99.2851,100.4628,7413100
17-08-2011,100.884,102.0789,100.1877,100.7894,4828600
18-08-2011,96.4054,98.4255,96.3066,97.2564,9284600
19-08-2011,96.1647,99.1132,95.5114,96.0702,6829000
22-08-2011,98.1418,98.4169,90.3452,91.5572,11286600
23-08-2011,91.136,93.5257,88.6775,91.8581,24482500
24-08-2011,91.8925,95.1934,91.4541,94.8237,10169800
25-08-2011,98.4341,101.5201,92.9326,94.4197,11939500
26-08-2011,93.3796,96.775,92.5973,96.0616,7355700
29-08-2011,97.6948,100.1791,96.5601,99.7751,5177900
30-08-2011,99.4402,100.0179,97.6468,99.3109,5298800
31-08-2011,99.5006,101.5699,98.8712,100.2076,6488100
01-09-2011,99.6299,99.6299,96.2241,96.707,9855500
02-09-2011,93.6202,94.1893,91.2232,92.3096,8380900
06-09-2011,89.3867,91.0508,89.1798,90.1541,7749300
07-09-2011,91.3957,93.8013,90.5335,93.4133,6526400
08-09-2011,92.37,93.1201,90.3093,90.3524,6508800
09-09-2011,89.9989,91.2405,88.1365,88.1624,8613700
12-09-2011,87.1708,88.809,86.0327,88.74,8769600
13-09-2011,89.1625,90.6887,87.5157,89.7488,7119200
14-09-2011,90.4559,91.2922,89.266,90.1368,6602200
15-09-2011,90.68,93.284,90.6197,93.0943,6354500
16-09-2011,94.0427,94.5514,91.3181,92.6804,7999300
19-09-2011,90.8094,91.0508,89.0246,90.3696,5821600
20-09-2011,90.5335,90.7663,88.4038,88.4728,4978100
21-09-2011,88.6452,88.6624,84.2565,84.3772,8586100
22-09-2011,82.739,82.7993,78.8072,81.0318,12381300
23-09-2011,80.0488,83.2218,80.0143,82.0664,17489100
26-09-2011,82.9373,85.9896,81.9112,85.4808,7038600
27-09-2011,87.257,89.7402,85.1704,85.8343,8583800
28-09-2011,86.2051,86.9208,82.9545,83.0494,5676800
29-09-2011,85.0583,86.2051,83.8081,86.1103,5949200
30-09-2011,84.7393,84.8428,81.4456,81.5232,5780200
03-10-2011,80.8248,82.532,77.4966,77.6691,7745200
04-10-2011,76.1516,82.1009,72.6596,81.5491,12000000
05-10-2011,80.9369,82.3768,78.3071,81.2991,8455400
06-10-2011,81.049,84.4979,79.1176,84.4375,7604000
07-10-2011,84.5583,84.5583,79.538,79.9195,7636900
10-10-2011,81.8423,83.1097,81.0059,82.8942,6123500
11-10-2011,81.5319,85.1962,81.049,83.377,7065300
12-10-2011,84.6703,87.1967,83.1097,85.455,8237900
13-10-2011,84.3858,84.5151,81.4974,82.9028,6571500
14-10-2011,83.4546,84.3599,81.6095,83.4029,5557400
17-10-2011,82.351,84.3993,82.0578,83.5495,7227800
18-10-2011,84.6617,89.446,83.2477,88.1624,16777200
19-10-2011,87.5588,90.4817,86.4983,86.9035,9959400
20-10-2011,87.6795,88.0934,84.7393,86.9639,7351200
21-10-2011,87.7226,88.8608,86.7311,88.0244,5854800
24-10-2011,88.5072,90.3007,88.4469,89.654,5616600
25-10-2011,88.8521,88.9556,86.2913,86.6017,5150100
26-10-2011,87.8606,92.0337,87.395,91.6802,11751700
27-10-2011,95.1291,101.3371,94.8446,99.0781,16477900
